Level,ID,Name,Description,Rationale ,V&V Method,Implementation,Testing,V&V Evidence,Status
1,R1,Pythonic Interface for Web-Agnostic Developers,"The library provide an object-oriented framework that represents the HTML DOM as a tree of Python objects, allowing developers to build complex structures using native Python patterns.","Teamtool developers are typically not web developers, but still need to have basic web design capabilities. To limit the diversity of the tech stack needed for competency in TTS, the studio has chosen to use Python as much as possible. Using an object oriented style allows users to avoid writing large f-strings of inscrutable HTML markup.",Hierarchy,,,,
2,R1.1,Automated Asset Injection and Dependency Resolution,"The library shall automatically identify, aggregate, and deduplicate all CSS and JavaScript resources required by the components within a document, injecting them into the `<head>` during the compilation phase.",,Inspection,,,,
2,R1.2,Extensible Widget and UI Library,The library shall include classes for defining all common HTML tags that is extensible to other more complex entities.,"Users should have all of the HTML features they expect (e.g. Div, Headers, Lists, Tables) and an easy way to build out more complex features that are commonly repeated on many projects (e.g. plots, filter tables, gantt charts)",Hierarchy,,,,
3,R1.2.1,Flexbox Class,The library shall include Flexbox classes,,Demonstration,,,,
3,R1.2.2,List Classes,The library shall include classes for lists,"ol, ul, li",Demonstration,,,,
3,R1.2.3,Structural Classes,The library shall include classes for commons structural elements,"HTML, head, body, header, footer, style, script, title, Div, HR, BR, Anchor Tags, Buttons, H1, H2, H3, etc.",Demonstration,,,,
3,R1.2.4,Plot Classes,The library shall include classes for including plots of common types,"This requirement is an active area of development as we decide our standards, but for now this really just means Plotly. We are also considering D3, but have not yet made progress in that direction yet.",Demonstration,,,,
3,R1.2.5,Table Classes,The library shall include classes for common table structures.,This one needs some children ,Demonstration,,,,
2,R1.3,Common Interactive UI Widgets,The library shall include interactive widgets common at JPL,"See children for explanation of what we consider to be ""common""",Demonstration,,,,
3,R1.3.0,Filter Table,The library shall include a common widget for creating tables that are sortable and filterable.,The same table can often represent many different views in one entity. Filtering and sorting is a key way to let users implment those views themselves with minimal input from the developer.,Demonstration,,,,
3,R1.3.1,Visual Diff,The library shall incldue a common widget for creating a visual difference of two similar tables.,"Differencing two objects (last plan vs this plan, predict vs actual, etc) is essential to low risk operations",Demonstration,,,,
3,R1.3.2,Gantt Chart,The library shall include a common widget for creating a Gantt chart,Spacecraft operations is full of timelines.,Demonstration,,,,
3,R1.3.3,Pane Container,The library shall include a common widget to display separate panes (sub-pages) within a single report,Just because it's a single file doesn't meant that the information in it can be organized in a single view. This allows users to create multiple pages in the same report,Demonstration,,,,
1,R2,Single File Reporting,The library shall support the creation of single HTML files with commonly used user interactivity elements.,"The most common use of this library is expected to be a single-file report that is emailed, attached to a report, or stored on a file system.",Demonstration,,,,
2,R2.1,Indefinite Lifetime of Output Reports,The library shall build single-file reports in such a way that they can still be accessed years or decades in the future,"This is mostly about the use of JS and CSS frameworks. In cases where the inlusion of a framework causes the single-file strategy to fail (due to files being too large), developers may want to access a hosted copy of some resources on a CDN. This is generally acceptable, but opens a risk that reports will no longer be future proof.

The one-of-a-kind work that JPL does means that every report is a precious artifact that may be used again in the future the next time we attempt to do a similar project.

This requirement ensures that so long as web browsers and protocols remain relatively stable, these reports will still be able to be rendered in more or less the way they were when they were new.",Inspection,,,,
3,R2.1.1,Don't use CDNs directly,The library shall mirror any required resources accessed via Content Delivery Networks.,Referencing a file hosted on the internet that TTS does not control introduces the risk that files will disappear over time. Mirroring any dependencies internally ensures that we keep complete control over all code that makes this codebase work.,Inspection,,,,
3,R2.1.2,Explicit Versioning of External Resources,The library shall not use unversioned external files.,"This keeps us from using a ""latest"" version of a JS or CSS entitiy when building a report. This ensures that changes to the ""current"" version of these resources does not affect rendering of reports made on previous versions.",Inspection,,,,
3,R2.1.3,Updating Mirrored versions,"The library shall include a mechanism to regularly update any resources accessed by reports, and the most recent versions shall be used to the maximum feasible.","Using old JS introduces the potential of vulnerabilities, and limits the ability of developers to use the common techniques being used across the industry. We should not be stuck on old versions.",Inspection,,,,
1,R3,Interoperability with other Frameworks,"The library shall support inclusion of HTML content in Jupyter notebooks, common Pyhton web frameworks, and other common reporting tools.","Although the most typical use of this library is expected to be standalone files that are emailed or stored on file systems, some Teamtool developers will want use it in small web applications or Jupyter notebooks. This still does not mean this needs to be a full web development framework, but should provide enough capability that building simple teamtool web apps is facilitated for developers who already know this framework.

Other common reporting tools is meant to include things like Confluence and internal JPL web-based reporting tools",Demonstration,,,,
